Id;Név;Életkor;Pontszám;Dátum
1;Anna;25;78.5;2023-05-15
2;Béla;32;92.0;2023-04-20
3;Cecília;28;85.3;2023-06-02
4;Dávid;40;74.8;2023-03-10
5;Eszter;22;89.2;2023-07-08
6;Ferenc;35;80.7;2023-01-25
7;Gizella;29;91.5;2023-08-12
8;Hunor;26;76.4;2023-02-18
9;Ildikó;31;87.9;2023-09-05
10;János;27;82.6;2023-11-30
11;Katalin;33;95.1;2023-10-15
12;László;24;79.3;2023-12-22
13;Márta;38;88.0;2023-04-05
14;Norbert;30;83.7;2023-07-18
15;Orsolya;23;76.2;2023-09-20
16;Péter;36;94.5;2023-11-02
17;Qerél;34;81.8;2023-08-25
18;Rózsa;39;89.7;2023-03-15
19;Sándor;28;75.6;2023-06-08
20;Tünde;29;86.4;2023-02-10
21;Üdvözlet;37;90.3;2023-10-08
22;Vivien;25;77.9;2023-05-02
23;Winston;30;84.2;2023-07-28
24;Xénia;32;92.8;2023-09-15
25;Yvette;26;78.6;2023-01-12
26;Zoltán;33;87.2;2023-04-30
27;Ágnes;31;80.9;2023-08-05
28;Éva;34;93.4;2023-11-20
29;Ödön;27;79.8;2023-06-18
30;Ügyfélszolgálat;35;88.5;2023-03-02
